,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
101,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),20,161733.9,0.896,0.83
102,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),20,161733.9,0.896,0.83
103,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),20,161733.9,0.896,0.83
104,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,UFS (f-regression),25,162568.73,0.905,0.828
105,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,UFS (f-regression),25,162568.73,0.905,0.828
106,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,UFS (f-regression),25,162568.73,0.905,0.828
107,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Variance threshold,24,162682.229,0.926,0.828
108,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Variance threshold,24,162682.229,0.926,0.828
109,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Variance threshold,24,162682.229,0.926,0.828
110,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,UFS (f-regression),20,163663.499,0.891,0.826
111,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,UFS (f-regression),20,163663.499,0.891,0.826
112,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,UFS (f-regression),20,163663.499,0.891,0.826
113,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,Variance threshold,30,163819.815,0.876,0.825
114,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,Variance threshold,30,163819.815,0.876,0.825
115,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,Variance threshold,30,163819.815,0.876,0.825
116,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,Variance threshold,26,163819.815,0.876,0.825
117,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,Variance threshold,26,163819.815,0.876,0.825
