,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
70,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,18,161222.532,0.971,0.831
71,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,18,161509.601,0.972,0.83
72,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,26,162148.752,0.956,0.829
73,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,30,162158.79,0.955,0.829
74,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,18,162399.183,0.972,0.828
75,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,19,163061.977,0.955,0.827
76,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,UFS (f-regression),15,166211.231,0.945,0.82
77,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,UFS (f-regression),15,169182.704,0.947,0.814
78,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,UFS (f-regression),15,169470.472,0.928,0.813
79,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),15,170107.909,0.946,0.812
80,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,Variance threshold,16,171626.595,0.944,0.808
81,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),10,171949.149,0.939,0.808
82,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,16,172020.009,0.965,0.807
83,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,UFS (f-regression),15,172127.68,0.928,0.807
84,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,UFS (f-regression),15,172751.974,0.929,0.806
85,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,UFS (f-regression),10,173523.816,0.922,0.804
86,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,16,173596.022,0.944,0.804
87,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,16,173925.791,0.966,0.803
88,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,UFS (f-regression),10,173988.812,0.938,0.803
89,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,16,175103.533,0.944,0.8
90,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,UFS (f-regression),10,176119.504,0.921,0.798
91,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,UFS (f-regression),10,176208.96,0.921,0.798
92,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,16,176330.293,0.966,0.798
93,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,UFS (f-regression),10,178170.792,0.939,0.793
