,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
102,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,26,182222.288,0.908,0.784
106,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,24,182235.375,0.907,0.784
100,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,30,182269.458,0.908,0.784
103,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,26,182301.893,0.908,0.784
66,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,18,182322.938,0.906,0.784
64,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,18,182335.314,0.907,0.784
113,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,18,182411.432,0.907,0.783
111,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,18,182426.134,0.907,0.783
65,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,18,182435.319,0.906,0.783
37,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),30,182479.499,0.848,0.783
112,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,18,182505.35,0.907,0.783
35,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),30,182670.772,0.848,0.783
36,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),30,182931.738,0.849,0.782
30,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),20,188905.151,0.839,0.768
34,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),25,189058.365,0.838,0.767
29,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),20,189731.797,0.838,0.766
33,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),25,190185.3,0.838,0.765
32,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),25,190352.524,0.838,0.764
31,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),20,190517.78,0.836,0.764
28,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),15,193584.423,0.829,0.756
26,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),15,193829.979,0.83,0.755
27,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),15,194103.951,0.829,0.755
25,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),10,194860.414,0.828,0.753
23,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),10,194993.371,0.827,0.753
24,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),10,195309.256,0.829,0.752
